"PartID","Description","Category","Value","Symbol","Footprint","Distributor","Distributor Part#","Manufacturer","Manufacturer Part#","Package","Capacitance","Voltage","Material","Tolerance","Stock","Datasheet"
"C526967","25V 270pF X7R ±10% 0201  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","270pF","symbol:C0402","footprint:C0201","LCSC","C526967","YAGEO","CC0201KRX7R8BB271","C0201","270pF","25V","X7R","±10%","8200","https://datasheet.lcsc.com/lcsc/2006101834_YAGEO-CC0201KRX7R8BB271_C526967.pdf"
"C526927","25V 9pF NP0 0201  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","9pF","symbol:C0402","footprint:C0201","LCSC","C526927","YAGEO","CC0201DRNPO8BN9R0","C0201","9pF","25V","NP0","","8200","https://datasheet.lcsc.com/lcsc/2006101834_YAGEO-CC0201DRNPO8BN9R0_C526927.pdf"
"C710828","6.3V 10nF X7R ±5% 0201  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","10nF","symbol:C0402","footprint:C0201","LCSC","C710828","Murata Electronics","GRM033R70J103JA01D","C0201","10nF","6.3V","X7R","±5%","8200","https://datasheet.lcsc.com/lcsc/2108182030_Murata-Electronics-GRM033R70J103JA01D_C710828.pdf"
"C3843470","25V 150pF X5R ±10% 0201  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","150pF","symbol:C0402","footprint:C0201","LCSC","C3843470","Murata Electronics","GRM033R61E151KA01D","C0201","150pF","25V","X5R","±10%","8200","https://datasheet.lcsc.com/lcsc/2308111503_Murata-Electronics-GRM033R61E151KA01D_C3843470.pdf"
"C85910","50V 4.3pF C0G 0201  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","4.3pF","symbol:C0402","footprint:C0201","LCSC","C85910","Murata Electronics","GRM0335C1H4R3CA01D","C0201","4.3pF","50V","C0G","","7900","https://datasheet.lcsc.com/lcsc/2304140030_Murata-Electronics-GRM0335C1H4R3CA01D_C85910.pdf"
"C561708","50V 6.8pF C0G 0201  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","6.8pF","symbol:C0402","footprint:C0201","LCSC","C561708","PSA(Prosperity Dielectrics)","FN03N6R8D500PLG","C0201","6.8pF","50V","C0G","","8200",""
"C387926","50V 56pF NP0 ±5% 0201  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","56pF","symbol:C0402","footprint:C0201","LCSC","C387926","Walsin Tech Corp","0201N560J500CT","C0201","56pF","50V","NP0","±5%","8200","https://datasheet.lcsc.com/lcsc/2304140030_Walsin-Tech-Corp-0201N560J500CT_C387926.pdf"
"C1853527","25V 10pF NP0 ±2% 0201  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","10pF","symbol:C0402","footprint:C0201","LCSC","C1853527","YAGEO","CC0201GRNPO8BN100","C0201","10pF","25V","NP0","±2%","7900","https://datasheet.lcsc.com/lcsc/2112151830_YAGEO-CC0201GRNPO8BN100_C1853527.pdf"
"C312100","50V 1.5pF NP0 0201  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","1.5pF","symbol:C0402","footprint:C0201","LCSC","C312100","Darfon Elec","C0603NP0159CGTS","C0201","1.5pF","50V","NP0","","8300","https://datasheet.lcsc.com/lcsc/2304140030_Darfon-Elec-C0603NP0159CGTS_C312100.pdf"
"C2167961","10V 100pF C0G ±5% 0201  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","100pF","symbol:C0402","footprint:C0201","LCSC","C2167961","Kyocera AVX","0201ZA101JAT2A","C0201","100pF","10V","C0G","±5%","8360","https://datasheet.lcsc.com/lcsc/2304140030_Kyocera-AVX-0201ZA101JAT2A_C2167961.pdf"
