"PartID","Description","Category","Value","Symbol","Footprint","Distributor","Distributor Part#","Manufacturer","Manufacturer Part#","Package","Resistance","Power","Tolerance","Stock","Datasheet"
"C2907382","250mW Thick Film Resistors 200V ±100ppm/℃ ±1% 3.3kΩ 1206  Chip Resistor - Surface Mount ROHS","Resistor","3K3","symbol:R0402","footprint:R1206","LCSC","C2907382","FOJAN","FRC1206F3301TS","C1206","3.3kΩ","250mW","±1%","43400","https://datasheet.lcsc.com/lcsc/2308241947_FOJAN-FRC1206F3301TS_C2907382.pdf"
"C3017194","250mW Thick Film Resistors 200V ±1% 140Ω 1206  Chip Resistor - Surface Mount ROHS","Resistor","140R","symbol:R0402","footprint:R1206","LCSC","C3017194","VO","SCR1206F140R","C1206","140Ω","250mW","±1%","43100","https://datasheet.lcsc.com/lcsc/2206021145_VO-SCR1206F140R_C3017194.pdf"
"C2907359","250mW Thick Film Resistors 500V ±1% ±200ppm/℃ 620mΩ 1206  Chip Resistor - Surface Mount ROHS","Resistor","620mR","symbol:R0402","footprint:R1206","LCSC","C2907359","FOJAN","FRL1206FR620TS","C1206","620mΩ","250mW","±1%","43000","https://datasheet.lcsc.com/lcsc/2308241947_FOJAN-FRL1206FR620TS_C2907359.pdf"
"C2907378","250mW Thick Film Resistors 200V ±100ppm/℃ ±1% 240kΩ 1206  Chip Resistor - Surface Mount ROHS","Resistor","240K","symbol:R0402","footprint:R1206","LCSC","C2907378","FOJAN","FRC1206F2403TS","C1206","240kΩ","250mW","±1%","42800","https://datasheet.lcsc.com/lcsc/2308241947_FOJAN-FRC1206F2403TS_C2907378.pdf"
"C25374","250mW Thick Film Resistors 200V ±100ppm/℃ ±5% 330Ω 1206  Chip Resistor - Surface Mount ROHS","Resistor","330R","symbol:R0402","footprint:R1206","LCSC","C25374","UNI-ROYAL(Uniroyal Elec)","1206W4J0331T5E","C1206","330Ω","250mW","±5%","43100","https://datasheet.lcsc.com/lcsc/2205311900_UNI-ROYAL-Uniroyal-Elec-1206W4J0331T5E_C25374.pdf"
"C2907531","250mW Thick Film Resistors 200V ±100ppm/℃ ±5% 7.5kΩ 1206  Chip Resistor - Surface Mount ROHS","Resistor","7K5","symbol:R0402","footprint:R1206","LCSC","C2907531","FOJAN","FRC1206J752 TS","C1206","7.5kΩ","250mW","±5%","42800","https://datasheet.lcsc.com/lcsc/2308241947_FOJAN-FRC1206J752-TS_C2907531.pdf"
"C4491","250mW Thick Film Resistors 200V ±100ppm/℃ ±1% 390Ω 1206  Chip Resistor - Surface Mount ROHS","Resistor","390R","symbol:R0402","footprint:R1206","LCSC","C4491","UNI-ROYAL(Uniroyal Elec)","1206W4F3900T5E","C1206","390Ω","250mW","±1%","42700","https://datasheet.lcsc.com/lcsc/2206010216_UNI-ROYAL-Uniroyal-Elec-1206W4F3900T5E_C4491.pdf"
"C2907369","250mW Thick Film Resistors 200V ±100ppm/℃ ±1% 100Ω 1206  Chip Resistor - Surface Mount ROHS","Resistor","100R","symbol:R0402","footprint:R1206","LCSC","C2907369","FOJAN","FRC1206F1000TS","C1206","100Ω","250mW","±1%","42400","https://datasheet.lcsc.com/lcsc/2308241947_FOJAN-FRC1206F1000TS_C2907369.pdf"
"C2907496","250mW Thick Film Resistors 200V ±100ppm/℃ ±5% 4.3kΩ 1206  Chip Resistor - Surface Mount ROHS","Resistor","4K3","symbol:R0402","footprint:R1206","LCSC","C2907496","FOJAN","FRC1206J432 TS","C1206","4.3kΩ","250mW","±5%","42400","https://datasheet.lcsc.com/lcsc/2308241947_FOJAN-FRC1206J432-TS_C2907496.pdf"
"C137355","250mW Thick Film Resistors 200V ±1% ±200ppm/℃ 1Ω 1206  Chip Resistor - Surface Mount ROHS","Resistor","1R","symbol:R0402","footprint:R1206","LCSC","C137355","YAGEO","RC1206FR-071RL","C1206","1Ω","250mW","±1%","42647","https://datasheet.lcsc.com/lcsc/2304140030_YAGEO-RC1206FR-071RL_C137355.pdf"
"C2907523","250mW Thick Film Resistors 200V ±5% ±200ppm/℃ 6.8Ω 1206  Chip Resistor - Surface Mount ROHS","Resistor","6R8","symbol:R0402","footprint:R1206","LCSC","C2907523","FOJAN","FRC1206J6R8 TS","C1206","6.8Ω","250mW","±5%","42300","https://datasheet.lcsc.com/lcsc/2308241947_FOJAN-FRC1206J6R8-TS_C2907523.pdf"
"C2933792","250mW Thick Film Resistors 200V ±100ppm/℃ ±5% 6.2MΩ 1206  Chip Resistor - Surface Mount ROHS","Resistor","6M2","symbol:R0402","footprint:R1206","LCSC","C2933792","FOJAN","FRC1206J625 TS","C1206","6.2MΩ","250mW","±5%","42000","https://datasheet.lcsc.com/lcsc/2308241115_FOJAN-FRC1206J625-TS_C2933792.pdf"
"C2907462","250mW Thick Film Resistors 200V ±100ppm/℃ ±5% 270kΩ 1206  Chip Resistor - Surface Mount ROHS","Resistor","270K","symbol:R0402","footprint:R1206","LCSC","C2907462","FOJAN","FRC1206J274 TS","C1206","270kΩ","250mW","±5%","42000","https://datasheet.lcsc.com/lcsc/2308241947_FOJAN-FRC1206J274-TS_C2907462.pdf"
"C2907407","250mW Thick Film Resistors 200V ±5% ±200ppm/℃ 1.1Ω 1206  Chip Resistor - Surface Mount ROHS","Resistor","1R1","symbol:R0402","footprint:R1206","LCSC","C2907407","FOJAN","FRC1206J1R1 TS","C1206","1.1Ω","250mW","±5%","41700","https://datasheet.lcsc.com/lcsc/2308241947_FOJAN-FRC1206J1R1-TS_C2907407.pdf"
"C2930432","250mW Thick Film Resistors 200V ±100ppm/℃ ±1% 56Ω 1206  Chip Resistor - Surface Mount ROHS","Resistor","56R","symbol:R0402","footprint:R1206","LCSC","C2930432","FOJAN","FRC1206F56R0TS","C1206","56Ω","250mW","±1%","41300","https://datasheet.lcsc.com/lcsc/2308241947_FOJAN-FRC1206F56R0TS_C2930432.pdf"
"C2930347","250mW Thick Film Resistors 200V ±100ppm/℃ ±5% 130kΩ 1206  Chip Resistor - Surface Mount ROHS","Resistor","130K","symbol:R0402","footprint:R1206","LCSC","C2930347","FOJAN","FRC1206J134TS","C1206","130kΩ","250mW","±5%","41300","https://datasheet.lcsc.com/lcsc/2308241947_FOJAN-FRC1206J134TS_C2930347.pdf"
"C2933600","250mW Thick Film Resistors 200V ±100ppm/℃ ±1% 1.5MΩ 1206  Chip Resistor - Surface Mount ROHS","Resistor","1M5","symbol:R0402","footprint:R1206","LCSC","C2933600","FOJAN","FRC1206F1504TS","C1206","1.5MΩ","250mW","±1%","41100","https://datasheet.lcsc.com/lcsc/2308241113_FOJAN-FRC1206F1504TS_C2933600.pdf"
"C2933637","250mW Thick Film Resistors 200V ±100ppm/℃ ±1% 200kΩ 1206  Chip Resistor - Surface Mount ROHS","Resistor","200K","symbol:R0402","footprint:R1206","LCSC","C2933637","FOJAN","FRC1206F2003TS","C1206","200kΩ","250mW","±1%","40200","https://datasheet.lcsc.com/lcsc/2308241947_FOJAN-FRC1206F2003TS_C2933637.pdf"
"C2933787","250mW Thick Film Resistors 200V ±100ppm/℃ ±5% 460Ω 1206  Chip Resistor - Surface Mount ROHS","Resistor","460R","symbol:R0402","footprint:R1206","LCSC","C2933787","FOJAN","FRC1206J461 TS","C1206","460Ω","250mW","±5%","40100","https://datasheet.lcsc.com/lcsc/2308241115_FOJAN-FRC1206J461-TS_C2933787.pdf"
"C25354","250mW Thick Film Resistors 200V ±100ppm/℃ ±5% 15Ω 1206  Chip Resistor - Surface Mount ROHS","Resistor","15R","symbol:R0402","footprint:R1206","LCSC","C25354","UNI-ROYAL(Uniroyal Elec)","1206W4J0150T5E","C1206","15Ω","250mW","±5%","40100","https://datasheet.lcsc.com/lcsc/2205311900_UNI-ROYAL-Uniroyal-Elec-1206W4J0150T5E_C25354.pdf"
"C37862","250mW Thick Film Resistors 200V ±100ppm/℃ ±5% 200kΩ 1206  Chip Resistor - Surface Mount ROHS","Resistor","200K","symbol:R0402","footprint:R1206","LCSC","C37862","UNI-ROYAL(Uniroyal Elec)","1206W4J0204T5E","C1206","200kΩ","250mW","±5%","39900","https://datasheet.lcsc.com/lcsc/2206010000_UNI-ROYAL-Uniroyal-Elec-1206W4J0204T5E_C37862.pdf"
"C2930412","250mW Thick Film Resistors 200V ±100ppm/℃ ±1% 191kΩ 1206  Chip Resistor - Surface Mount ROHS","Resistor","191K","symbol:R0402","footprint:R1206","LCSC","C2930412","FOJAN","FRC1206F1913TS","C1206","191kΩ","250mW","±1%","39800","https://datasheet.lcsc.com/lcsc/2308241947_FOJAN-FRC1206F1913TS_C2930412.pdf"
"C2907465","250mW Thick Film Resistors 200V ±100ppm/℃ ±5% 27Ω 1206  Chip Resistor - Surface Mount ROHS","Resistor","27R","symbol:R0402","footprint:R1206","LCSC","C2907465","FOJAN","FRC1206J270 TS","C1206","27Ω","250mW","±5%","39700","https://datasheet.lcsc.com/lcsc/2308241947_FOJAN-FRC1206J270-TS_C2907465.pdf"
"C2907374","250mW Thick Film Resistors 200V ±1% ±200ppm/℃ 1Ω 1206  Chip Resistor - Surface Mount ROHS","Resistor","1R","symbol:R0402","footprint:R1206","LCSC","C2907374","FOJAN","FRC1206F1R00TS","C1206","1Ω","250mW","±1%","39600","https://datasheet.lcsc.com/lcsc/2308241947_FOJAN-FRC1206F1R00TS_C2907374.pdf"
"C2930416","250mW Thick Film Resistors 200V ±100ppm/℃ ±1% 2.7kΩ 1206  Chip Resistor - Surface Mount ROHS","Resistor","2K7","symbol:R0402","footprint:R1206","LCSC","C2930416","FOJAN","FRC1206F2701TS","C1206","2.7kΩ","250mW","±1%","39500","https://datasheet.lcsc.com/lcsc/2308241947_FOJAN-FRC1206F2701TS_C2930416.pdf"
"C17947","250mW Thick Film Resistors 200V ±1% ±200ppm/℃ 2.2Ω 1206  Chip Resistor - Surface Mount ROHS","Resistor","2R2","symbol:R0402","footprint:R1206","LCSC","C17947","UNI-ROYAL(Uniroyal Elec)","1206W4F220KT5E","C1206","2.2Ω","250mW","±1%","39300","https://datasheet.lcsc.com/lcsc/2206010145_UNI-ROYAL-Uniroyal-Elec-1206W4F220KT5E_C17947.pdf"
"C2907346","250mW Thick Film Resistors 500V ±600ppm/℃ ±1% 120mΩ 1206  Chip Resistor - Surface Mount ROHS","Resistor","120mR","symbol:R0402","footprint:R1206","LCSC","C2907346","FOJAN","FRL1206FR120TS","C1206","120mΩ","250mW","±1%","39200","https://datasheet.lcsc.com/lcsc/2308241947_FOJAN-FRL1206FR120TS_C2907346.pdf"
"C2974117","250mW Thick Film Resistors 500V ±5% ±600ppm/℃ 68mΩ 1206  Chip Resistor - Surface Mount ROHS","Resistor","68mR","symbol:R0402","footprint:R1206","LCSC","C2974117","FOJAN","FRL1206JR068TS","C1206","68mΩ","250mW","±5%","39200","https://datasheet.lcsc.com/lcsc/2202151130_FOJAN-FRL1206JR068TS_C2974117.pdf"
"C2933694","250mW Thick Film Resistors 200V ±100ppm/℃ ±1% 39Ω 1206  Chip Resistor - Surface Mount ROHS","Resistor","39R","symbol:R0402","footprint:R1206","LCSC","C2933694","FOJAN","FRC1206F39R0TS","C1206","39Ω","250mW","±1%","39100","https://datasheet.lcsc.com/lcsc/2308241947_FOJAN-FRC1206F39R0TS_C2933694.pdf"
"C17894","250mW Thick Film Resistors 200V ±1% ±200ppm/℃ 1.2Ω 1206  Chip Resistor - Surface Mount ROHS","Resistor","1R2","symbol:R0402","footprint:R1206","LCSC","C17894","UNI-ROYAL(Uniroyal Elec)","1206W4F120KT5E","C1206","1.2Ω","250mW","±1%","38900","https://datasheet.lcsc.com/lcsc/2206010145_UNI-ROYAL-Uniroyal-Elec-1206W4F120KT5E_C17894.pdf"
"C25337","250mW Thick Film Resistors 200V ±800ppm/℃ ±1% 330mΩ 1206  Chip Resistor - Surface Mount ROHS","Resistor","330mR","symbol:R0402","footprint:R1206","LCSC","C25337","UNI-ROYAL(Uniroyal Elec)","1206W4F330LT5E","C1206","330mΩ","250mW","±1%","38800","https://datasheet.lcsc.com/lcsc/2205311900_UNI-ROYAL-Uniroyal-Elec-1206W4F330LT5E_C25337.pdf"
"C2933757","250mW Thick Film Resistors 200V ±100ppm/℃ ±1% 806Ω 1206  Chip Resistor - Surface Mount ROHS","Resistor","806R","symbol:R0402","footprint:R1206","LCSC","C2933757","FOJAN","FRC1206F8060TS","C1206","806Ω","250mW","±1%","39100","https://datasheet.lcsc.com/lcsc/2308241115_FOJAN-FRC1206F8060TS_C2933757.pdf"
"C2933717","250mW Thick Film Resistors 200V ±1% ±200ppm/℃ 4.3Ω 1206  Chip Resistor - Surface Mount ROHS","Resistor","4R3","symbol:R0402","footprint:R1206","LCSC","C2933717","FOJAN","FRC1206F4R30TS","C1206","4.3Ω","250mW","±1%","38700","https://datasheet.lcsc.com/lcsc/2201251530_FOJAN-FRC1206F4R30TS_C2933717.pdf"
"C5159739","250mW Thick Film Resistors 500V ±1200ppm/℃ ±1% 50mΩ 1206  Chip Resistor - Surface Mount ROHS","Resistor","50mR","symbol:R0402","footprint:R1206","LCSC","C5159739","FOJAN","FRL1206FR050TS","C1206","50mΩ","250mW","±1%","38900","https://datasheet.lcsc.com/lcsc/2308241947_FOJAN-FRL1206FR050TS_C5159739.pdf"
"C3013240","250mW Thick Film Resistors 200V ±100ppm/℃ ±1% 140Ω 1206  Chip Resistor - Surface Mount ROHS","Resistor","140R","symbol:R0402","footprint:R1206","LCSC","C3013240","FOJAN","FRC1206F1400TS","C1206","140Ω","250mW","±1%","38300","https://datasheet.lcsc.com/lcsc/2308241947_FOJAN-FRC1206F1400TS_C3013240.pdf"
